PLAYER_ID,PLAYER_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TOV_PCT,E_USG_PCT,E_PACE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TOV_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,SEASON
1631199,Ron Harper Jr.,1,1,0,1.0,3.7,100.0,155.1,-55.1,100.0,0.0,0.0,0.0,0.0,0.0,124.67,565,538,1,1,540,514,570,569,1,545,557,561,1,569,1,2023-24
1631167,Izaiah Brockington,1,1,0,1.0,3.4,127.1,121.0,6.2,0.0,0.143,0.167,0.154,0.0,0.372,119.74,565,538,1,1,546,10,546,100,553,19,176,88,1,4,2,2023-24
1641926,Dexter Dennis,4,1,3,0.25,7.5,89.9,102.5,-12.7,14.6,0.026,0.235,0.123,10.981,0.298,116.1,542,538,39,474,482,548,36,510,376,398,59,143,48,22,3,2023-24
1630563,Joshua Primo,2,2,0,1.0,5.1,96.7,89.3,7.4,0.0,0.125,0.0,0.053,57.143,0.283,113.42,555,511,1,1,515,527,11,82,553,38,557,508,572,33,4,2023-24
1630535,Greg Brown III,6,3,3,0.5,6.6,105.2,109.9,-4.8,17.4,0.067,0.133,0.1,17.422,0.184,111.67,525,489,39,300,497,452,169,363,282,163,285,220,541,227,5,2023-24
1631173,Terquavion Smith,16,8,8,0.5,5.3,113.8,119.5,-5.7,17.9,0.0,0.055,0.026,10.417,0.253,111.32,461,423,110,300,511,191,530,385,274,545,544,557,48,67,6,2023-24
1631111,Wendell Moore Jr.,25,18,7,0.72,3.0,105.3,111.4,-6.1,21.4,0.0,0.176,0.084,14.286,0.114,109.68,411,316,93,43,554,450,243,392,173,545,154,316,48,523,7,2023-24
1631214,Alondes Williams,7,5,2,0.714,2.2,62.5,116.5,-54.0,0.0,0.0,0.083,0.036,19.157,0.281,109.64,518,466,28,46,568,569,470,568,553,545,505,552,541,36,8,2023-24
1630227,Daishen Nix,15,11,4,0.733,3.3,125.0,101.2,23.7,15.9,0.02,0.05,0.033,13.284,0.256,109.07,467,392,45,41,547,12,30,10,332,455,547,554,48,61,9,2023-24
1631157,Ryan Rollins,13,1,12,0.077,6.0,118.5,83.0,35.6,24.8,0.031,0.151,0.095,14.164,0.223,108.34,480,538,138,556,503,49,5,3,119,346,220,239,48,128,10,2023-24
1631169,Josh Minott,32,23,9,0.719,2.9,110.2,103.4,6.7,15.3,0.043,0.165,0.099,3.834,0.191,108.09,385,270,118,44,558,305,41,90,356,264,182,225,1,204,11,2023-24
1641727,Dariq Whitehead,2,1,1,0.5,12.0,108.6,161.5,-52.9,33.8,0.0,0.19,0.087,0.0,0.093,107.63,555,538,14,300,398,365,571,567,33,545,126,296,1,555,12,2023-24
1630647,Eugene Omoruyi,43,5,38,0.116,9.1,100.8,115.7,-14.9,14.3,0.089,0.152,0.118,8.587,0.217,107.55,330,466,488,552,460,511,445,530,386,100,216,164,48,136,13,2023-24
1631159,Leonard Miller,17,13,4,0.765,3.1,108.3,105.2,3.1,26.8,0.098,0.349,0.213,3.347,0.167,107.27,453,377,45,31,550,374,56,174,89,82,3,13,1,298,14,2023-24
1631386,Tazé Moore,4,1,3,0.25,10.1,99.0,120.9,-22.0,17.9,0.083,0.121,0.099,10.76,0.218,107.04,542,538,39,474,442,521,545,548,271,121,343,226,48,135,15,2023-24
201980,Danny Green,2,1,1,0.5,9.2,110.8,118.0,-7.1,33.3,0.0,0.118,0.069,0.0,0.044,106.98,555,538,14,300,457,279,503,413,35,545,363,405,1,568,16,2023-24
