PLAYER_ID,PLAYER_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TOV_PCT,E_USG_PCT,E_PACE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TOV_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK
1631386,Taze Moore,3,1,2,0.333,3.4,130.4,106.8,23.6,14.3,0.0,0.0,0.0,14.286,0.206,125.48,504,491,33,410,510,10,77,13,361,499,518,526,51,150,1
1631199,Ron Harper Jr.,1,1,0,1.0,3.7,100.0,155.1,-55.1,100.0,0.0,0.0,0.0,0.0,0.0,124.67,529,491,1,1,502,487,538,534,1,499,518,526,1,535,2
1630563,Joshua Primo,1,1,0,1.0,5.0,91.7,96.7,-5.1,0.0,0.0,0.0,0.0,60.0,0.417,122.52,529,491,1,1,479,512,26,364,515,499,518,526,539,2,3
1630586,Usman Garuba,2,2,0,1.0,3.0,118.1,131.6,-13.5,50.0,0.0,0.0,0.0,0.0,0.061,117.42,514,469,1,1,517,67,528,486,3,499,518,526,1,532,4
1630554,Jason Preston,1,0,1,0.0,1.2,0.0,0.0,0.0,0.0,0.5,0.0,0.2,100.0,0.25,116.76,529,520,13,520,538,539,1,232,515,1,518,24,540,69,5
1641926,Dexter Dennis,4,1,3,0.25,7.5,89.9,102.5,-12.7,14.6,0.026,0.235,0.123,10.981,0.298,116.1,500,491,46,442,434,516,42,476,351,363,58,144,51,24,6
1631173,Terquavion Smith,11,4,7,0.364,6.2,118.0,118.3,-0.3,18.1,0.0,0.034,0.016,7.231,0.251,114.37,443,437,112,397,460,72,452,243,249,499,513,525,51,66,7
1631262,Jules Bernard,6,1,5,0.167,4.7,98.6,85.3,13.4,26.3,0.05,0.097,0.07,10.526,0.165,113.93,479,491,80,483,489,491,15,30,89,211,421,371,51,297,8
1630535,Greg Brown III,6,3,3,0.5,6.6,105.2,109.9,-4.8,17.4,0.067,0.133,0.1,17.422,0.184,111.67,479,448,46,274,450,439,150,353,262,157,276,210,502,221,9
1630568,Luka Garza,13,10,3,0.769,3.0,107.6,112.4,-4.8,5.8,0.13,0.139,0.134,5.834,0.307,111.59,433,330,46,34,520,380,251,353,510,39,254,118,51,13,10
1631157,Ryan Rollins,10,1,9,0.1,6.6,118.0,81.4,36.6,21.8,0.036,0.136,0.091,13.867,0.239,110.58,448,491,135,510,452,72,11,9,154,284,263,253,51,90,11
1631111,Wendell Moore Jr.,14,11,3,0.786,3.2,98.0,119.1,-21.1,13.3,0.0,0.15,0.072,20.0,0.119,109.83,428,310,46,25,515,494,475,514,385,499,203,356,502,477,12
1631321,Sidy Cissoko,5,0,5,0.0,6.3,106.6,86.4,20.2,0.0,0.0,0.182,0.088,11.416,0.107,109.49,487,520,80,520,457,404,16,17,515,499,139,264,51,503,13
1641723,Kobe Bufkin,5,4,1,0.8,4.9,91.4,114.9,-23.5,7.8,0.074,0.211,0.13,7.764,0.202,108.19,487,437,13,18,484,513,353,518,499,131,94,125,51,163,14
1631243,Mouhamed Gueye,2,2,0,1.0,2.2,10.1,141.7,-131.6,0.0,0.0,0.0,0.0,0.0,0.092,108.19,514,469,1,1,533,538,533,539,515,499,518,526,1,521,14
1641727,Dariq Whitehead,2,1,1,0.5,12.0,108.6,161.5,-52.9,33.8,0.0,0.19,0.087,0.0,0.093,107.63,514,491,13,274,360,358,539,533,32,499,127,277,1,519,16
203095,Evan Fournier,5,2,3,0.4,17.8,93.8,110.3,-16.6,9.2,0.02,0.143,0.071,10.981,0.217,107.45,487,469,46,372,264,506,159,499,480,411,233,368,51,131,17
1631131,Oscar Tshiebwe,7,2,5,0.286,5.3,114.3,109.2,5.1,9.2,0.158,0.333,0.226,0.0,0.2,107.33,472,469,80,428,474,188,130,125,479,17,9,9,1,170,18
1631116,Patrick Baldwin Jr.,17,2,15,0.118,7.2,109.4,93.7,15.7,11.8,0.056,0.223,0.142,10.121,0.17,107.19,401,469,235,505,444,337,23,25,421,191,70,104,51,272,19
1630647,Eugene Omoruyi,24,2,22,0.083,7.1,102.1,110.4,-8.4,15.1,0.13,0.195,0.16,10.337,0.256,107.17,356,469,381,516,447,471,166,423,331,40,122,76,51,62,20
201980,Danny Green,2,1,1,0.5,9.2,110.8,118.0,-7.1,33.3,0.0,0.118,0.069,0.0,0.044,106.98,514,491,13,274,404,289,445,395,33,499,337,379,1,534,21
1641741,Ricky Council IV,14,6,8,0.429,9.9,109.0,110.9,-1.9,4.8,0.074,0.141,0.107,2.396,0.229,106.95,428,403,126,355,396,351,189,291,511,134,244,184,1,110,22
1631169,Josh Minott,19,14,5,0.737,3.2,107.9,107.4,0.5,9.3,0.048,0.14,0.088,6.219,0.194,106.94,385,279,80,44,513,375,91,219,477,226,247,261,51,186,23
1629677,Luka Samanic,26,11,15,0.423,5.6,107.0,101.5,5.4,4.7,0.056,0.216,0.141,12.905,0.222,106.85,347,310,235,360,470,391,35,119,512,192,83,105,51,123,24
1630264,Anthony Gill,29,4,25,0.138,5.6,121.1,101.8,19.3,13.7,0.09,0.156,0.124,18.741,0.17,106.84,331,437,428,498,471,21,38,19,371,97,185,141,502,272,25
1631100,AJ Griffin,18,8,10,0.444,7.4,111.5,120.0,-8.6,7.2,0.017,0.112,0.062,10.737,0.165,106.71,393,363,152,336,441,268,491,428,502,442,361,421,51,297,26
1630284,Kevon Harris,2,1,1,0.5,3.0,156.7,142.0,14.7,20.0,0.0,0.286,0.222,20.0,0.313,106.47,514,491,13,274,517,4,534,27,191,499,21,10,502,11,27
1641716,Jarace Walker,17,7,10,0.412,10.2,114.9,118.3,-3.4,20.2,0.051,0.154,0.099,10.093,0.185,106.44,401,382,152,366,391,163,452,327,186,209,193,215,51,218,28
1629673,Jordan Poole,52,9,43,0.173,29.2,109.6,119.4,-9.7,17.5,0.014,0.076,0.045,10.186,0.25,106.32,65,349,532,479,109,327,482,442,260,467,480,501,51,69,29
1630166,Deni Avdija,54,9,45,0.167,28.2,109.9,117.2,-7.3,22.3,0.04,0.21,0.125,11.849,0.197,106.31,19,349,538,483,125,315,424,399,147,269,95,139,51,178,30
1630167,Obi Toppin,56,31,25,0.554,22.5,118.0,117.5,0.4,14.9,0.054,0.145,0.099,8.247,0.162,106.25,1,52,428,235,209,72,431,222,336,201,223,217,51,317,31
1630169,Tyrese Haliburton,43,24,19,0.558,32.0,122.0,117.0,5.1,37.1,0.021,0.115,0.068,7.535,0.255,106.24,202,148,335,223,67,18,416,125,22,399,355,381,51,63,32
1626145,Tyus Jones,54,9,45,0.167,29.0,110.1,120.2,-10.1,36.8,0.01,0.095,0.051,5.096,0.169,106.08,19,349,538,483,114,309,495,445,24,489,430,481,51,279,33
1629655,Daniel Gafford,48,12,36,0.25,26.2,111.9,117.0,-5.0,14.5,0.12,0.21,0.165,9.914,0.144,106.07,140,302,513,442,159,254,416,360,354,52,96,66,51,389,34
1641757,Jordan Miller,5,4,1,0.8,4.2,106.6,127.8,-21.2,0.0,0.1,0.095,0.098,12.69,0.157,105.91,487,437,13,18,492,404,521,515,515,72,427,224,51,340,35
