TEAM_NAME,TEAM_ID,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TM_TOV_PCT_RANK,E_PACE_RANK
Washington Wizards,1610612764,54,9,45,0.167,2592.0,109.2,117.2,-8.0,105.4,19.6,0.201,0.713,0.452,0.132,19,29,29,29,27,25,27,26,8,29,30,30,17,1
Indiana Pacers,1610612754,56,31,25,0.554,2688.0,117.9,116.8,1.1,104.8,21.0,0.238,0.736,0.486,0.128,1,13,14,14,5,3,26,14,1,19,27,23,11,2
Atlanta Hawks,1610612737,55,24,31,0.436,2660.0,115.6,118.4,-2.8,104.0,18.0,0.28,0.74,0.501,0.128,6,21,22,22,8,8,30,22,24,3,24,15,10,3
San Antonio Spurs,1610612759,55,11,44,0.2,2650.0,106.9,115.8,-8.9,103.9,20.2,0.225,0.752,0.484,0.142,6,28,28,28,13,28,24,28,4,23,21,24,23,4
Milwaukee Bucks,1610612749,56,35,21,0.625,2703.0,117.3,113.8,3.5,103.7,18.9,0.218,0.765,0.499,0.124,1,7,7,7,3,5,17,8,17,26,11,17,6,5
Los Angeles Lakers,1610612747,56,30,26,0.536,2708.0,112.5,112.5,0.0,103.3,20.1,0.197,0.759,0.49,0.133,1,15,17,17,2,18,16,18,5,30,14,22,19,6
Detroit Pistons,1610612765,54,8,46,0.148,2607.0,109.1,117.7,-8.6,103.0,18.6,0.255,0.773,0.507,0.149,19,30,30,30,23,26,28,27,20,8,4,12,29,7
Dallas Mavericks,1610612742,55,32,23,0.582,2640.0,115.6,113.8,1.7,102.8,18.4,0.225,0.738,0.481,0.121,6,11,12,12,16,9,18,12,21,24,25,26,2,8
Utah Jazz,1610612762,56,26,30,0.464,2713.0,113.4,116.7,-3.3,102.8,19.4,0.293,0.756,0.527,0.152,1,19,20,20,1,17,25,23,11,2,18,2,30,8
Sacramento Kings,1610612758,54,31,23,0.574,2617.0,114.2,114.5,-0.3,102.4,20.0,0.234,0.785,0.503,0.13,19,13,12,13,20,15,20,19,6,21,1,14,13,10
Golden State Warriors,1610612744,53,27,26,0.509,2574.0,115.5,114.2,1.3,102.3,19.8,0.278,0.76,0.521,0.139,28,18,17,18,28,10,19,13,7,4,13,4,22,11
Oklahoma City Thunder,1610612760,54,37,17,0.685,2612.0,117.7,110.0,7.7,102.2,19.5,0.208,0.722,0.476,0.122,19,3,3,3,22,4,5,2,9,28,29,28,3,12
Philadelphia 76ers,1610612755,54,32,22,0.593,2602.0,115.9,112.2,3.7,101.4,17.9,0.254,0.738,0.495,0.117,19,11,8,11,25,6,13,7,26,12,26,21,1,13
Houston Rockets,1610612745,54,24,30,0.444,2617.0,110.8,110.2,0.6,101.3,17.8,0.246,0.769,0.508,0.126,19,21,20,21,20,23,6,17,27,18,8,11,8,14
Toronto Raptors,1610612761,55,19,36,0.345,2660.0,111.9,115.1,-3.3,101.3,20.3,0.254,0.752,0.497,0.132,6,25,24,25,8,21,23,23,3,11,19,19,18,14
Phoenix Suns,1610612756,55,33,22,0.6,2655.0,115.5,112.1,3.4,101.3,19.2,0.246,0.746,0.512,0.146,6,8,8,8,11,11,12,9,13,16,23,9,27,14
Memphis Grizzlies,1610612763,56,20,36,0.357,2698.0,105.1,111.5,-6.4,101.2,18.3,0.218,0.752,0.476,0.144,1,24,24,24,4,30,9,25,22,27,20,29,24,17
New Orleans Pelicans,1610612740,55,33,22,0.6,2645.0,115.6,110.6,5.0,100.9,19.3,0.254,0.768,0.512,0.131,6,8,8,8,14,7,7,6,12,10,9,8,15,18
Boston Celtics,1610612738,55,43,12,0.782,2665.0,118.7,109.0,9.6,100.6,18.8,0.246,0.766,0.519,0.123,6,1,1,1,7,1,3,1,19,17,10,5,4,19
Portland Trail Blazers,1610612757,54,15,39,0.278,2622.0,105.7,115.0,-9.3,100.6,16.4,0.261,0.731,0.482,0.146,19,26,26,26,19,29,22,29,30,6,28,25,26,19
LA Clippers,1610612746,53,36,17,0.679,2549.0,117.9,111.5,6.4,100.5,18.9,0.248,0.746,0.506,0.129,28,4,3,4,30,2,10,5,18,14,22,13,12,21
Charlotte Hornets,1610612766,54,13,41,0.241,2602.0,107.9,118.2,-10.3,100.5,18.2,0.225,0.758,0.479,0.137,19,27,27,27,25,27,29,30,23,22,16,27,21,21
Cleveland Cavaliers,1610612739,53,36,17,0.679,2554.0,114.4,107.9,6.5,100.4,19.5,0.252,0.77,0.516,0.134,28,4,3,4,29,14,2,4,10,13,6,6,20,23
Brooklyn Nets,1610612751,54,21,33,0.389,2607.0,112.4,114.6,-2.3,100.3,19.1,0.254,0.758,0.498,0.124,19,23,23,23,23,19,21,21,15,9,15,18,7,24
Orlando Magic,1610612753,55,30,25,0.545,2660.0,110.7,109.7,0.9,100.3,18.0,0.26,0.771,0.513,0.145,6,15,14,15,8,24,4,15,25,7,5,7,25,24
Minnesota Timberwolves,1610612750,55,39,16,0.709,2655.0,113.5,105.9,7.6,100.0,19.2,0.234,0.774,0.522,0.147,6,2,2,2,11,16,1,3,14,20,3,3,28,26
Miami Heat,1610612748,55,30,25,0.545,2645.0,111.5,110.8,0.7,99.2,19.0,0.223,0.78,0.497,0.131,6,15,14,15,14,22,8,16,16,25,2,20,14,27
New York Knicks,1610612752,55,33,22,0.6,2640.0,114.7,111.7,3.0,99.1,17.3,0.295,0.77,0.532,0.132,6,8,8,8,16,12,11,10,29,1,7,1,16,28
Denver Nuggets,1610612743,55,36,19,0.655,2640.0,114.6,112.4,2.2,99.0,20.4,0.261,0.757,0.512,0.127,6,4,6,6,16,13,14,11,2,5,17,10,9,29
Chicago Bulls,1610612741,55,26,29,0.473,2680.0,112.0,112.5,-0.4,98.6,17.8,0.247,0.763,0.499,0.124,6,19,19,19,6,20,15,20,28,15,12,16,5,30
